Road No.,LRPName,length,condition,roadName,Traffic,Criticality_scores
N7,LRP064b,612.5,0,Dauladia-Faridpur (Goalchamot)-Magura-Jhenaidah-Jessore-Khulna-Mongla (Digraj) Road,9325.0,0.3409913901948958
N5,LRP131a,573.47,2,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.3193434038411578
N5,LRP131a,570.75,1,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.3178287403741099
N5,LRP049a,506.59,0,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.28210050212198046
R710,LRP066a,504.54,3,Ahaladipur-Rajbari-Pangsha-Kumarkhali-Kushtia (Chourhash) Road,5414.0,0.28156281648854736
N5,LRP049a,492.45,2,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,8913.0,0.27422647953960655
N8,LRP054a,456.0,0,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.2541215139610798
R370,LRP001c,452.8,1,Mymensingh (D.C Office)-Raghurampur-Netrokona-Mohonganj-Jamalganj-Sunamganj Road,8726.0,0.25217588240505573
R370,LRP001c,447.19,0,Mymensingh (D.C Office)-Raghurampur-Netrokona-Mohonganj-Jamalganj-Sunamganj Road,8726.0,0.24905153015175985
N4,LRP019b,435.3,0,Joydebpur-Tangail-Jamalpur Road,19183.0,0.24087261855563918
N2,LRP069a,428.91,2,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.2385053149136303
N1,LRP008b,397.0,2,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.22053654360764977
N1,LRP008b,394.23,0,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.21899778737139491
N8,LRP148a,386.94,0,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.21563547941250047
N8,LRP148a,386.94,0,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.21563547941250047
N8,LRP013c,382.2,2,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.21299395314895767
N8,LRP013c,381.9,0,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.2128267679424043
R370,LRP050a,372.0,1,Mymensingh (D.C Office)-Raghurampur-Netrokona-Mohonganj-Jamalganj-Sunamganj Road,8726.0,0.20717629914902988
R770,LRP039a,336.84,0,Noapara-Bagerhat-Pirojpur Road,5427.0,0.18797491450232148
R770,LRP039a,336.84,0,Noapara-Bagerhat-Pirojpur Road,5427.0,0.18797491450232148
R504,LRP003a,305.0,0,Hemayetpur-Singair-Manikganj Road,4297.0,0.17032436814040489
N805,LRP079a,303.21,0,Bhanga-Bhatiapara-Mollahhat Road,4917.0,0.16926045425935354
R504,LRP003a,303.0,1,Hemayetpur-Singair-Manikganj Road,4297.0,0.16920748703784488
N805,LRP079a,303.0,0,Bhanga-Bhatiapara-Mollahhat Road,4917.0,0.1691432262807431
N1,LRP328a,300.0,2,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.16665229995540287
N2,LRP229c,298.5,1,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.16598782145839136
N2,LRP229c,298.2,1,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,11218.0,0.1658209995272774
N1,LRP328a,294.15,3,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,12871.0,0.16340258010627248
N8,LRP146a,289.95,0,Dhaka (Jatrabari)-Mawa-Bhanga-Barisal-Patuakhali Road,7678.0,0.16158450213380499
