Road No.,Road Name,Traffic,Length,Criticality_scores
R163,Chittagong (Mohora)-Chandragona Road,7016,33436.0,0.06329010399781469
R301,Tongi-Kaliganj-Gorashal-Pachdona Road,11510,33037.0,0.06236241731385264
R460,Jamalpur-Sherpur-Bangaon Road,4392,32875.0,0.06232838879086017
N804,Bhanga-Faridpur (Goalchamot) Road,5957,32063.000000000004,0.06073062411301469
R771,Rupsha-Fakirhat-Bagerhat Road,3127,31180.0,0.05916061198003151
R749,Darsana-Mujibnagar Road,6274,28445.0,0.05386728712644854
N402,Nakla-Nalitabadi-Nakugaon Road,4795,28000.0,0.05307267082221822
N709,Khulna City By-Pass Road,12352,26567.0,0.050123317750367775
R603,Pabna-Paksey Nadi Bandar (EPZ) Road,4619,25795.0,0.04889847063575307
R544,Santahar Atrai Road,4261,25700.0,0.04872906875857733
R212,Akdaria (C&B Bazar)-Shekher Bazar-Puradia-Agarpur Road,1871,23409.0,0.04445014333327906
R202,Bhulta-Rupganj-Kayetpara-Rampura Road,4052,23000.0,0.04361525525603964
N108,Keranirhat-Bandarban Road,5533,22541.0,0.0427060753574986
R480,Elenga-Bhuanpur (Char Gabsara) Road,4161,22402.0,0.04247842270395344
N603,Rajshahi Town By-Pass Road,8643,21030.0,0.03976738260688481
R555,Palashbari-Gaibandah Road,9806,21015.0,0.039710632841915436
N120,Comilla Town Old Section,6275,20940.0,0.03965478293747361
R549,Badalgachhi-Paharpur-Joypurhat (Khanjanpur) Road,2464,20290.0,0.03851366115124743
R143,Maijdi-Rajganj-Chayani-Basurhat-Chandraganj Road,4357,20260.0,0.03841217432557051
R110,Jatrabari-Demra-Shimrail-Narayanganj (Chasara) Road,15309,18926.0,0.03564223092694824
N302,Tongi-Ashulia-Zerabo-EPZ Road,26940,17555.0,0.032823170454192835
R172,Chokoria-Baderkhali Road,3298,17270.0,0.03276449094998833
R282,Juri-Lathitila Road,3123,16722.0,0.031728228854981735
N515,Bogra 2nd Town By-Pass Road,4440,16000.0,0.03033383719393459
N508,Beldanga-Dinajpur Road,3187,15975.0,0.030309687841327253
N540,Nabinagar-EPZ-Kaliakoir (Chandra) Road,8367,16010.000000000002,0.030279777458073295
R171,Banshkhali (Charati)-Chunti Road,1813,15872.0,0.03013959172862417
R746,Meherpur-Mujibnagar (BRD Camp) Road,7013,15636.0,0.02959701781494011
R570,Sayedpur-Nilphamari Road,9383,15330.0,0.028975601666641652
R221,"Muktijoddha Commandant Manik Chowdhury Road (Kamrapur, Habiganj-Nasratpur)",5017,14442.0,0.027370401852425678
R451,Nalka-Sirajganj Road,8550,14440.0,0.027307361127329503
R801,Chasara-Jurain-Kamalapur Road,15455,14000.0,0.02636300880828712
R251,Golapganj-Dhaka Dakhin-Baraigram-Vadeswar Road,8553,13620.0,0.025756618650260153
N309,Mymensingh Town By-Pass Road,6383,13303.0,0.025190670336454682
R681,Ujanpara-Bijoynagar Road (Old Part),2555,13230.0,0.025111255139187938
R557,Madhypara-Badarganj Road,3426,12943.0,0.02455342080879541
N111,Chittagong Port Connecting Road,6275,12660.0,0.023974668194289207
R113,Madanpur-Madanganj-Sayedpur Road,5761,12119.0,0.02295739280451134
N501,Mirpur Bridge-Dhour Road,11346,11942.0,0.022544635796431314
N513,Baderhat-Khayerchar Road,17439,11880.0,0.022343522056594352
N210,Sylhet Town Bypass Road (Khadim-Paraichak),19136,10844.0,0.020373674260467378
R810,Postagola-Chasara Road,15455,10642.0,0.02003965283841368
N107,Kalurghat-Maneswartek Road,5666,10542.0,0.01997119653963958
R164,Baraichhari-Kaptai Road,2212,10178.0,0.019322448658244975
N705,Paksey (Ruppur)-Iswardi-Dasuria Old Section,4632,9453.0,0.017919502282931595
N511,Mirpur (Birulia)-Ashulia (Yearpur) Road,12826,9462.0,0.01784651820759636
N715,Alipur - Bhomra Landport Connecting Road,14170,9225.0,0.017385107055142186
R450,Jamuna Bridge (Saidabad)-Sirajganj Road,8550,8990.0,0.01700091250240251
N514,Bogra (Banani)-Matidali Road,17129,8670.0,0.016309378740050177
R112,Narayanganj (Signboard)-Demra-Amulia-Rampura Road,5761,8508.0,0.016116964929514192
N517,Rangpur Town Old Section (Modern More-Medical More) Road,7929,8210.0,0.015531782407895734
N110,Link Road(at N1)-Cox`s Bazar (Laboni More) Road,6275,8200.0,0.015528616050013546
N123,Baraiyerhat-Joraganj Old Section Road,0,8060.000000000001,0.015322232635595108
R111,Signboard at 6th km of N1Road-Narayanganj Road,18068,8105.0,0.015237702578873406
N516,Naogaon Town By-Pass Road,5478,8000.0,0.015157274372162726
N604,Pabna Town Old Section (Bus Stand-Gachpara) Road,12588,7830.0,0.01477052591743315
R302,Kaliganj Bazr Road,6201,7475.0,0.014156301568845108
R802,Majina-Kayetpara-Trimohini Link Road,15455,7500.0,0.014123040433010957
R861,Monohar Bazar More -Shariatpur(Premtola) Road,5449,6904.0,0.013080960313055221
N504,Nagarbari (Pratappur)-Kashinathpur Road,6489,6653.0,0.012597356543857647
R283,Sylhet-Sunamganj Bypass Road (3rd Hazrat Shahajalal Bridge Approach Road),3078,6625.0,0.012570584021334619
N713,Kushtia Town Bypass Road,14170,6600.0,0.012438125372784653
R711,Rajbari (Bagmara)-Joukura Ferryghat Road,4490,6480.0,0.01228482777153524
N707,Jessore Town Old Section (Palbari-Daratana-Monihar-Murali),12499,6490.0,0.01224341836906656
N404,Tangail Old Section (Nagarjalpai-Baila) Road,12690,6489.0,0.012240092432015197
N712,jhenaidaha bus terminal-Arappur intersection-Alhera busstand,8580,6150.0,0.011629998391101999
N803,Faridpur Town Old Section (Alipur-Faridpur-SS Ghat) Road,8338,6130.0,0.011593900141278948
R587,Thakurgaon Town Old Section (Bus Stand-Railway Station),20991,6140.0,0.011522585407624936
R180,Laharpur-Jhinukmarket-Laboni More Road,13025,6105.0,0.011513384382799613
N101,Comilla - Bibirbazar Land Port Connecting Road,9708,6021.0,0.01137816425030883
N602,Natore Town Old Section Road,19662,5640.0,0.010592969426919289
R713,Charikoal at R710-Shilahdah Link Road,2920,5435.0,0.01031361983890949
N808,Faridpur Town By-Pass,4664,5300.0,0.010046704762243243
R558,Maheshpur at R556 to Barapukuria Road,1984,5080.0,0.009645483431652472
R210,Shahepratap-Narsingdi Road,9831,4990.0,0.009429122681090536
R743,Jibannagar-Duttanagar Road,0,4860.0,0.009238964095408463
N801,Barishal-Bhola Link Road,0,4825.0,0.009172428345750171
N708,Jessore Town Old Section alternate Road (Palbari-Board office-Monihar),6242,4750.0,0.008995416955699968
N103,Brahmanbaria Town Portion (Kuatali-Ghaturia),26699,4779.0,0.008936793710634888
R311,Joydebpur (BARI More)-Ordinance Factory (Shahid Zaman Road),7569,4561.0,0.008630464767250972
N802,2nd Buriganga Bridge Approach Road to National Highway N8,8338,4552.0,0.008609369240310239
N505,Baderhat-Kazirhat (Latifpur) Road,6489,4400.0,0.008331334554783352
